Entity,Code,Year,Open dumps,Open burning,Controlled landfills,Sanitary landfills,Incinerated,Composted,Recycled
Thailand,THA,2020,56.98861,2.3130426,16.87704,6.1254783,0.3629913,0,17.332834
Togo,TGO,2020,66.85197,31.76194,0,0,0,0.65657014,0.7295224
Tokelau,TKL,2020,79.925,2.5,0,0,0,0.95,16.625
Tonga,TON,2020,64.2,35.8,0,0,0,0,0
Trinidad and Tobago,TTO,2020,85.6,1.6,12,0,0,0.8,0
Tunisia,TUN,2020,88.95,2.5,0,0,0,4.75,3.8
Turkey,TUR,2020,41.9631,3.1903,6.3806,47.5848,0,0.8812,0
Turkmenistan,TKM,2020,25,3.812559,50,21.18744,0,0,0
Turks and Caicos Islands,TCA,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Tuvalu,TUV,2020,49.8825,43.0675,0,0,0,0,7.05
Uganda,UGA,2020,64.43,30.5,0,2.73,0,0,2.34
Ukraine,UKR,2020,23.875376,6.035,47.75075,17.840376,2.070978,0,2.42752
United Arab Emirates,ARE,2020,60.848797,0,0,9.823075,0,8.83289,19.628643
United Kingdom,GBR,2020,0,0,0,25.14,31.38,16.23,27.25
United States,USA,2020,0,0,0,52.6,12.8,0,34.6
United States Virgin Islands,VIR,2020,23.705072,4.5981703,47.410145,19.106901,0.1259742,0.39374,4.6599994
Uruguay,URY,2020,19.277,2.127,60.466,10.29,0,0,7.84
Uzbekistan,UZB,2020,73.18002,26.81998,0,0,0,0,0
Vanuatu,VUT,2020,48.458,47.102,0,0,0,0,4.44
Venezuela,VEN,2020,91.362144,8.637856,0,0,0,0,0
Vietnam,VNM,2020,36.32,36.32,0,0,0,10.8,16.56
Yemen,YEM,2020,27.75,22.75,47.9,0,0,0,1.6
Zambia,ZMB,2020,53.50691,45.165977,0,0,0,0,1.3271148
Zimbabwe,ZWE,2020,46.34511,46.34511,0,0,0,0,7.309776
